artist,genre,pays
Kendrick Lamar,hip hop,Canada
Kendrick Lamar,hip hop,Canada
Kendrick Lamar,hip hop,United States
SZA,pop,Malaysia
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Wallie the Sensei,rap,United States
Wallie the Sensei,rap,United States
Roddy Ricch,trap,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
"Tyler, The Creator",hip hop,United Kingdom
GloRilla,hip hop,Canada
Sexyy Red,trap,Canada
Lil Wayne,hip hop,Canada
Kendrick Lamar,hip hop,United States
AzChike,rap,United States
Kendrick Lamar,hip hop,United States
Lady Gaga,pop,Vietnam
Bruno Mars,pop,Vietnam
Gigi Perez,pop,United Kingdom
Kendrick Lamar,hip hop,United States
SZA,pop,Malaysia
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
ROSÉ,pop,Vietnam
Bruno Mars,pop,Vietnam
Billie Eilish,pop,United Kingdom
"Tyler, The Creator",hip hop,New Zealand
Lola Young,pop,United States
Jimin,pop,Vietnam
The Weeknd,pop,United Kingdom
Playboi Carti,hip hop,United Kingdom
Cynthia Erivo,pop,United States
Ariana Grande,pop,Singapore
Sabrina Carpenter,pop,United Kingdom
Brenda Lee,rock,Canada
Mariah Carey,pop,United Kingdom
Chappell Roan,pop,United Kingdom
Billie Eilish,pop,United Kingdom
"Tyler, The Creator",hip hop,New Zealand
"Tyler, The Creator",hip hop,New Zealand
"Tyler, The Creator",hip hop,New Zealand
"Tyler, The Creator",hip hop,New Zealand
Wham!,rock,United Kingdom
Shaboozey,pop,United Kingdom
GloRilla,hip hop,United States
Sexyy Red,trap,United States
Sabrina Carpenter,pop,United Kingdom
Post Malone,pop,United Kingdom
Post Malone,pop,United Kingdom
Stromae,pop,United States
Pomme,pop,United States
Pomme,pop,United States
The Kid LAROI,hip hop,United Kingdom
The Kid LAROI,hip hop,United Kingdom
Sabrina Carpenter,pop,United Kingdom
Sabrina Carpenter,pop,United Kingdom
Sabrina Carpenter,pop,United Kingdom
Benson Boone,pop,United Kingdom
Kendrick Lamar,hip hop,United States
The Marías,pop,Saudi Arabia
Ariana Grande,pop,Philippines
Ariana Grande,pop,Malaysia
Cynthia Erivo,pop,United States
Cynthia Erivo,pop,United States
Chappell Roan,pop,United Kingdom
The Neighbourhood,rock,Ukraine
Noah Kahan,pop,United Kingdom
Sabrina Carpenter,pop,United Kingdom
Clarent,trap,Venezuela
Omar Courtz,urbano latino,Venezuela
De La Rose,urbano latino,Venezuela
De La Rose,urbano latino,Venezuela
Myke Towers,urbano latino,Venezuela
benny blanco,pop,Venezuela
Dani Fernández,pop,Spain
Dani Fernández,pop,Spain
Bad Gyal,urbano latino,Spain
Shakira,pop,Venezuela
Lady Gaga,pop,Venezuela
Bruno Mars,pop,Venezuela
Ghost Killer Track,rap,Spain
Kidd Keo,drill,Spain
Kidd Keo,drill,Spain
Kidd Keo,drill,Spain
Lasso,pop,Venezuela
Manuel Turizo,urbano latino,Venezuela
Manuel Turizo,urbano latino,Venezuela
Oques Grasses,rock,Andorra
Yan Block,urbano latino,Venezuela
Yan Block,urbano latino,Venezuela
Yan Block,urbano latino,Venezuela
Beny Jr,drill,Spain
Gigi Perez,pop,Switzerland
Marta Santos,pop,Andorra
Marta Santos,pop,Andorra
Linkin Park,rock,Switzerland
Oques Grasses,rock,Andorra
Oques Grasses,rock,Andorra
Oques Grasses,rock,Andorra
Oques Grasses,rock,Andorra
Feid,urbano latino,Venezuela
Feid,urbano latino,Venezuela
Ana Mena,pop,Spain
Emilia,pop,Uruguay
KAROL G,urbano latino,Venezuela
Beret,hip hop,Andorra
Morad,drill,Spain
Beny Jr,drill,Spain
Rvfv,drill,Spain
Morat,pop,Nicaragua
Morat,pop,Nicaragua
Topic,pop,Switzerland
Arash,pop,Switzerland
Arash,pop,Switzerland
Arash,pop,Switzerland
Cris Mj,urbano latino,Uruguay
Kali Uchis,pop,Philippines
JHAYCO,urbano latino,Peru
Dire Straits,rock,Andorra
Dire Straits,rock,Andorra
Dire Straits,rock,Andorra
Dire Straits,rock,Andorra
One Direction,pop,Singapore
One Direction,pop,Singapore
One Direction,pop,Singapore
Lost Frequencies,pop,Switzerland
Tom Odell,pop,Switzerland
Tiago PZK,urbano latino,Uruguay
Anitta,funk,Uruguay
Emilia,pop,Uruguay
Emilia,pop,Uruguay
Tom Odell,pop,Switzerland
Chayanne,pop,Uruguay
Cano,rap,Spain
Cano,rap,Spain
Snow Patrol,rock,Andorra
Snow Patrol,rock,Andorra
Cano,rap,Spain
Rvfv,drill,Andorra
Duki,urbano latino,Uruguay
Lady Gaga,pop,United Kingdom
Coldplay,pop,United Kingdom
Little Simz,trap,Netherlands
Burna Boy,hip hop,Netherlands
Elyanna,pop,Netherlands
TINI,pop,Netherlands
TINI,pop,Netherlands
Luck Ra,trap,Uruguay
Luck Ra,trap,Uruguay
Duki,urbano latino,Uruguay
Myke Towers,urbano latino,Uruguay
Tiago PZK,urbano latino,Uruguay
Anitta,funk,Ukraine
Emilia,pop,Uruguay
Big One,trap,Uruguay
Emanero,hip hop,Uruguay
Emanero,hip hop,Uruguay
KAROL G,urbano latino,Venezuela
Emilia,pop,Spain
